Date,BUY,SPY,TQQQ,SPXL,UVXY,SQQQ,TLT,QQQ,SPY_MA200,TQQQ_RSI10,SPXL_RSI10,SPY_RSI10,QQQ_RSI10,UVXY_RSI10,TQQQ_MA20,SQQQ_RSI10,TLT_RSI10,QQQ_5dgain,TQQQ_1dgain,TQQQ_10dSTDreturn
1999-04-07,,86.93859100341797,81.72095,45.31803,2.8791963568070613e+20,210225755.3689,33.3591,47.432098388671875,75.21591941833496,63.07197697885658,62.29345469581025,63.04629865902462,64.3489211389093,31.46337648427534,71.3006005,34.75958314438534,61.585288551069404,3.345116223402256,-3.1615398889949353,6.725346127472216
1999-04-08,,88.0404052734375,83.63468,47.05327,2.8174701002779266e+20,205353233.98776,33.66911,47.80916213989258,75.29841407775879,65.1882694522933,67.30306867955017,67.24347838344026,66.25255109279074,30.133641371994937,72.0935855,33.33260538165033,68.70719791541482,5.7176542595250845,2.3417862861359273,6.329252524982455
1999-04-09,,88.06079864501953,85.15391,47.49072,2.6444242482892495e+20,201671155.41228,33.57613,48.10544967651367,75.37676532745361,66.86332388959087,68.47621514021577,67.3198131326542,67.7557558578904,26.6281453888068,72.914247,32.221920508980894,64.70925493579001,4.200680852484351,1.8165072192540155,5.661916025170844
1999-04-12,,88.99935913085938,83.4008,48.55757,2.655143458246266e+20,205871039.14952,33.63814,47.782230377197266,75.4549577331543,62.97793192795406,71.26953298838804,70.79953832274113,64.28496838141346,27.210950006781708,73.8999295,34.96822635697895,66.16803964336387,-0.11263203702024382,-2.058754553959996,5.549664468607657
1999-04-13,,88.42805480957031,79.98025,47.59537,2.78192465614194e+20,214362981.25049,33.42109,47.135807037353516,75.53090019226075,55.93181199836747,65.45709650222986,66.0434194521704,57.71521075137208,34.090945201672014,74.4417275,40.394174017138205,57.00392190211469,-1.6577606033302494,-4.101339555495875,4.904015972100288
1999-04-14,,86.93859100341797,71.71923,45.31468,3.168253735363353e+20,236555657.94705,33.42109,45.51972198486328,75.59787925720215,43.01679672776515,53.88349640268145,55.28497818632276,44.953518255513714,50.069793804446135,74.48387349999999,52.01884892356941,57.00392190211469,-4.031819103042933,-10.328824928654267,5.975441280970536
1999-04-15,,86.61217498779297,74.61608,44.7222,2.953705261575825e+20,227058558.28415,33.3591,46.13922119140625,75.66191211700439,47.720275118695255,51.26703196032434,53.175708633230485,49.69150006986287,43.55417443574139,74.74916049999999,47.60438600098918,54.349821535124434,-3.492930797657523,4.039153794595962,5.913529650526372
1999-04-16,,85.87763214111328,68.05061,44.31042,2.9275650886172816e+20,247090186.4404,33.17305,44.79248046875,75.72479919433594,39.508138505156175,49.41410192818666,48.54475512596499,41.138589213293436,42.80018362511347,74.486043,56.29634451018482,47.04526210769866,-6.886889593677681,-8.799001502089077,6.231360917500372
1999-04-19,,84.55142974853516,58.44644,41.31653,3.3701836304026934e+20,282019730.03948,33.29709,42.69156265258789,75.77681007385254,30.87277843892176,38.24688413367622,41.325032645786806,31.68547973923236,56.853052155153236,74.02544250000001,66.92645187107276,51.84007114071583,-10.653893056944352,-14.113275399000836,6.012817839791749
1999-04-20,,85.61238861083984,62.40473,42.90184,3.078824281687677e+20,262982474.95878,33.3901,43.6612434387207,75.83341812133789,37.162323887680714,45.494133099055915,48.17604807227825,38.88717692439292,48.193158074392166,73.88808300000001,58.334113048214626,55.21832443309815,-7.371388795527234,6.772508299906721,6.742695856544253
1999-04-21,,88.06079864501953,71.61785,45.84097,2.741734027771329e+20,224217344.70308,33.3591,45.816001892089844,75.89852855682373,49.13175527058709,56.10579845550922,60.11687417827688,51.508727407201974,40.301705517653225,74.556874,45.20361570445186,53.82021445274031,0.6508825061038115,14.763496292668844,8.717355865782798
1999-04-22,,88.89734649658203,77.39755,48.15832,2.6008870810269608e+20,206175171.31743,33.04906,47.05500030517578,75.96852920532227,55.09404892623808,62.50145380336578,63.32490968220717,57.16130166324978,37.45440567050153,75.2195285,40.4904153268054,42.00221786930012,1.9848170171110402,8.07019479082378,9.137039464680186
1999-04-23,,88.67288970947266,80.42101,47.92692,2.60690179109465e+20,198170500.58194,33.08009,47.67450714111328,76.0346785736084,57.958251935976655,61.507119324099975,61.84193915102652,59.766852478475194,37.66337273007874,75.683305,38.51098826230753,43.3846821651977,6.43417520575571,3.906402722049984,9.216769070960405
1999-04-26,,89.18297576904297,85.93843,48.24119,2.7210011812297992e+20,184628109.62345,33.17305,48.7720947265625,76.1059052658081,62.77274161070781,62.40955632390864,63.972344048612555,64.06898107657226,41.764427536035114,76.53926,35.26983159378418,47.54655125431646,14.242936299746844,6.860669867239921,9.444065653509147
1999-04-27,,89.6114730834961,81.94952,48.51168,2.6725378853283794e+20,193243741.95112,33.26609,48.024658203125,76.1772528076172,57.48467119850901,63.2338656777824,65.75682540951064,59.273291707669195,40.50675707300579,76.823268,38.90457179112331,51.510544031195266,9.99379408543053,-4.641590496824288,9.476119029999158
1999-04-28,,88.38725280761719,73.50236,47.23006,2.8323747801978955e+20,213210949.67487,33.14208,46.381629943847656,76.2423783493042,47.97519027637708,56.6893190077668,56.82243716824782,50.111706450713804,46.41949597133837,76.7665845,46.622683229919964,46.32581169644792,1.2345644063181949,-10.307760191883997,9.47340856648213
1999-04-29,,87.71395111083984,71.67672,46.38512,2.9275385386517378e+20,218561094.4568,33.3591,46.004539489746094,76.2998921585083,46.142180479067186,52.69431101960504,52.46620270424551,48.211418195559204,49.72491065741071,76.7845615,48.55745811376392,55.11133162585892,-2.232410601672319,-2.4837841941401484,9.43901399871441
1999-04-30,,86.99978637695312,73.02883,45.57064,2.9088638000547732e+20,214496031.53777,32.98533,46.300838470458984,76.35454277038575,47.78392903513476,48.996113612978036,48.11859353106513,49.871047265712136,49.06493064517939,76.6488865,47.11568011202696,41.966226238015295,-2.8813484460118888,1.8864004937725998,8.922590715929152
1999-05-03,,88.5912857055664,71.84848,47.5392,2.7284472039529123e+20,218019366.21943,33.01648,46.05842971801758,76.41452285766601,46.41165390852075,57.08456846241683,56.95134482674485,48.459385831430936,42.946204657951874,76.0448685,48.58585561135697,43.22031209357794,-5.5639705937563395,-1.6162794885252962,7.284284706990155
1999-05-04,,87.32628631591797,68.41421,45.13653,2.958545907592708e+20,228492606.06539,32.82959,45.33116149902344,76.46767253875733,42.46880198542885,46.98075637614463,49.507510537592374,44.281046194240986,51.51454097476891,75.246132,52.90959331230849,37.778137135383325,-5.608570273856306,-4.779878433058016,7.414764655060441
1999-05-05,,88.01995849609375,74.60482,46.70268,2.8634443478258388e+20,207869687.62697,32.89186,46.70486068725586,76.52429058074951,50.834470340341866,53.005152278779875,53.23196991750943,52.818895065115065,48.19094398557523,74.8903255,44.687388867582044,40.54948177930617,0.6968938862207397,9.048719556945862,6.4012644232019325
1999-05-06,,87.47932434082031,66.44055,45.1036,3.2271284892733604e+20,230668347.0845,32.54928,45.007965087890625,76.58487648010254,41.90535972043904,46.95265677575867,50.03584054080573,43.6406841708253,59.338025979796654,74.030619,53.55333454577477,31.871940874742165,-2.166252315334216,-10.943354598268584,6.748357828611517
1999-05-07,,88.14244079589844,69.27485,46.39833,2.837701078621081e+20,220882721.40227,32.45582,45.65437698364258,76.64877796173096,45.59174438868502,51.894383070660496,53.81501093804822,47.50189946857568,47.24420123855165,73.236666,49.75027464260983,29.93040585098423,-1.3962198270531578,4.265918930532631,6.780101321918652
1999-05-10,,87.70372009277344,71.32951,45.92925,3.029404825897136e+20,214383985.81248,32.58041,46.112274169921875,76.71796546936035,48.23739418086533,50.01864510361968,50.980378463208304,50.18791870925579,52.53548661260468,72.63310150000001,47.27308989618251,35.72953841940258,0.11690466269465016,2.9659537335699815,6.3599272800992095
1999-05-11,,88.5912857055664,74.6736,47.48982,2.837584641321309e+20,204384145.34744,32.39354,46.839534759521484,76.79189388275147,52.42124427177502,55.909647683462666,56.16998865457105,54.31304555012047,47.264987743870726,72.367769,43.56443285573067,31.39881382010001,3.3274533689822583,4.688227915767262,6.5553556656976655
1999-05-12,,89.2850112915039,79.2789,48.37707,2.9025311915368825e+20,191828399.78721,32.45582,47.80916213989258,76.86666305541992,57.65806969803357,58.964964472709894,59.86046056441354,59.3054644889833,49.182897368205715,72.74575250000001,39.266748192876086,34.3456966440943,2.3644251077662437,6.1672398277302864,5.919557378765659
1999-05-13,,89.67263793945312,74.82247,48.7362,2.6973443056814336e+20,202658454.93403,32.79842,46.920326232910156,76.94963695526123,51.556707029561935,60.20519447217201,61.85451437115371,53.36587218208168,43.614718653651664,72.756072,44.51289236401796,47.999035938352826,4.248939362810811,-5.621205642358806,6.196658547494838
1999-05-14,,87.34667205810547,70.53735,45.53655,2.9760839707452015e+20,214314935.88002,32.23779,46.0315055847168,77.02239616394043,46.3198872857559,46.34034986485741,46.46466143367016,48.02204273129527,51.84390639575556,72.88040900000001,49.70813362019796,34.82952378341375,0.8260513580315321,-5.727049641638393,6.482981802017746
1999-05-17,,87.61192321777344,74.31285,45.69078,3.025123243011013e+20,202900177.84085,32.26894,46.85972213745117,77.09102359771728,51.174942718118146,46.99412578253276,48.10085511969032,52.90467520542226,53.179666460905324,73.6737295,45.11228994033237,35.915030617116656,1.6209306111751864,5.352483471522529,6.680024354906288
1999-05-18,,87.44871520996094,73.28801,45.04685,3.000711827093184e+20,205745808.70321,32.26894,46.65098571777344,77.16671875,49.8160378934828,44.480075887587525,47.116373354927745,51.54866163388801,52.37610910316411,74.21789349999999,46.48285627723282,35.915030617116656,-0.40254251609473934,-1.3790885425602695,6.462010225296834
1999-05-19,,88.08116912841797,76.30429,46.13803,2.619853531476227e+20,197323537.58776,32.48697,47.29741668701172,77.24709247589111,53.825677034822014,49.5606737743871,51.399315243973575,55.47556168934044,41.504488682677945,74.4522155,42.95548089579562,43.97829945723898,-1.070392012693011,4.115652751384569,5.936176717661782
